league_id,event_id,date_time,team_id,team_name,team_type,team_price,team_min,team_max,team_moneyline,team_totals,team_draw,team_pitcher,team_red_cards,team_score,opponent_id,opponent_name,opponent_type,opponent_price,opponent_min,opponent_max,opponent_moneyline,opponent_totals,opponent_draw,opponent_pitcher,opponent_red_cards,opponent_score
493,706296681,2017-03-24T16:05:00Z,0,877,Butler,Team1,-112.0,7.0,,258.0,,false,,,,878,North Carolina,Team2,-100.0,-7.0,,-300.0,,false,,,
493,706296681,2017-03-24T16:05:00Z,1,877,Butler,Team1,-113.0,4.0,,188.0,,false,,,,878,North Carolina,Team2,-103.0,-4.0,,-224.0,,false,,,
493,706346140,2017-03-24T16:25:00Z,0,873,South Carolina,Team1,-106.0,3.0,,137.0,,false,,,,874,Baylor,Team2,-106.0,-3.0,,-155.0,,false,,,
493,706346140,2017-03-24T16:25:00Z,1,873,South Carolina,Team1,-108.0,1.0,,118.0,,false,,,,874,Baylor,Team2,-108.0,-1.0,,-138.0,,false,,,
493,706346197,2017-03-24T18:35:00Z,0,875,UCLA,Team1,-102.0,-1.5,,-117.0,,false,,,,876,Kentucky,Team2,-110.0,1.5,,104.0,,false,,,
493,706010582,2017-03-24T18:55:00Z,0,871,Wisconsin,Team1,-107.0,1.0,,101.0,,false,,,,872,Florida,Team2,-105.0,-1.0,,-114.0,,false,,,
493,707098787,2017-03-25T11:00:00Z,0,515,Furman,Team1,-106.0,-6.0,,-250.0,,false,,,,516,Campbell,Team2,-106.0,6.0,,218.0,,false,,,
493,707098850,2017-03-25T14:00:00Z,0,517,St. Peter's,Team1,-103.0,-1.0,,-110.0,,false,,,,518,Texas State,Team2,-109.0,1.0,,-102.0,,false,,,
493,707289980,2017-03-25T15:05:00Z,0,513,Xavier,Team1,-109.0,8.5,,346.0,,false,,,,514,Gonzaga,Team2,-103.0,-8.5,,-413.0,,false,,,
493,707289953,2017-03-25T17:45:00Z,0,511,Oregon,Team1,-106.0,6.5,,248.0,,false,,,,512,Kansas,Team2,-106.0,-6.5,,-287.0,,false,,,
493,707099105,2017-03-26T11:00:00Z,0,725,Liberty,Team1,-106.0,3.0,,137.0,,false,,,,726,MD Baltimore CO,Team2,-106.0,-3.0,,-155.0,,false,,,
493,707099346,2017-03-28T16:00:00Z,0,777,CS Bakersfield,Team1,-106.0,2.0,,116.0,,false,,,,778,Georgia Tech,Team2,-106.0,-2.0,,-130.0,,false,,,
493,707099378,2017-03-28T18:30:00Z,0,779,TCU,Team1,-110.0,-2.5,,-145.0,,false,,,,780,Central Florida,Team2,-102.0,2.5,,129.0,,false,,,
